What does a person who is considered good known for? Choices: compliments | green thumb | ride horses | contribution to society | wear outrageous clothing
A retired person may have to return to work if they what? Choices: have debt | earn money | leave work | need money | key
Where would you find the nearest attic? Choices: victorian style house | basement | older houses | own home | victorian house
The great general had suffered his first defeat, it now seemed there was truly nobody his opponent couldn't what? Choices: win at jenga | victory | lose | winning | conquer
Where could you find a monkey in the wild? Choices: friend's house | research laboratory | french government | beach | madagascar
Where would the steakhouse include a view of a Great Lake? Choices: michigan | florida | kansas city | maine | georgia
John bought a small butane stove.  He knew that he couldn't use it inside because of the fumes, but he could use it outside.  What structure would John most likely use the stove outside of? Choices: community kitchen | the post office | apartment | friend's house | tent
She got home and needed to put away her shirts, where did she put them? Choices: buttons | suitcase | washing machine | sporting goods store | closet
Sarah felt bad about their odds. Billy disagreed with her.  What did he think about their odds? Choices: first rate | adequate | good | propitious | sufficient
It was the first time they had met their new niece, it was good to have everybody together at the annual what? Choices: brother's house | family picture book | family tree | family reunion | book
Why would someone be listening? Choices: empathy | thirsty | hear things | knowlege | learning
The dental office handled a lot of patients who experienced traumatic mouth injury, where were these patients coming from? Choices: town | michigan | office building | schools | hospital
The upright piano helped what get a better sound? Choices: music show | music room | house | band | college
A shark isn't something you have to worry about at the lake in the woods, but there are plenty of dangers in the what? Choices: great oceans | great outdoors | tropical waters | pacific ocean | gulf of mexico
Where would you find pamphlets when they're delivered to your home? Choices: drawer | health department | library | mail box | on the floor
You can find a clothing store often at what outdoor collection of merchants? Choices: ohio | buying clothing | park | strip mall | city or town
Where are you likely to find a cubicle for many corporations? Choices: office building | work | bank | office work | restroom
Where did people used to go so they could watch a movie in their home? Choices: show | vcr | (vcr and plane are in the above answers twice) | television | video store
If a train is behind schedule what is it likely to do? Choices: arrive late | slow down | make up time | arrive early | arrive on time
A person fear failure, what does he thing will happen? Choices: visit relatives | scared | doctor himself | thank god | amount to nothing
The man became more efficient at his work, he learned shortcuts to copy and what? Choices: soft copy | paste | unique | ocean | creation
What does one do at an office? Choices: work | school building | workplace | skyscraper | public building
Much like a jaunt on the treadmill, thinking hard and long can cause what? Choices: depression | revelation | new thought | fatigue | knowledge
Birds do what by laying eggs? Choices: air | pick berries | sky | breathe | reproduce
What would I do if I was being attacked? Choices: stay alive | get rid of | attacked | defend yourself | fall down
Where can you spend the night on the ground floor when you're away from home? Choices: brownstone | highrise building | hotel | subway | office building
The person was bad, but everything he said was what? Choices: just | sufficient | true | badarse | prime
Where is it likely to find a beach towel? Choices: backpack | beach | swimming pool | locker room | at hotel
